@relation communication_pattern.2016-0924-1007pattern-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C3-K5-P70.0-S2-weka.filters.supervised.instance.SMOTE-C1-K1-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2-weka.filters.supervised.instance.SMOTE-C1-K5-P500.0-S2_predicted

@attribute timeave_1 numeric
@attribute timesd_1 numeric
@attribute dataave_1 numeric
@attribute datasd_1 numeric
@attribute 'prediction margin' numeric
@attribute 'predicted class' {streaming,sencing,kensaku}
@attribute class {streaming,sencing,kensaku}

@data
978.860892,6979.162471,11133.496782,5894.465072,0.333333,streaming,streaming
874.944212,3530.219963,13442.227806,6134.051517,0.333333,streaming,streaming
865.095566,3311.77023,12660.569184,5902.193672,0.333333,streaming,streaming
1290.663001,6985.649746,11028.974403,6304.230401,0.333333,streaming,streaming
1261.560149,3691.874458,13906.996987,6176.23048,0.333333,streaming,streaming
650.943704,4761.881239,11346.669197,6169.649484,0.333333,streaming,streaming
1166.598642,5264.542364,11303.800016,5974.30606,0.333333,streaming,streaming
1225.412948,3427.533951,13648.32624,6144.13831,0.333333,streaming,streaming
811.656584,3631.716673,13428.64421,6174.473637,0.333333,streaming,streaming
693.57628,3582.647875,11298.576033,6167.031432,0.333333,streaming,streaming
666.373213,3628.895702,11161.849611,6175.904631,0.333333,streaming,streaming
656.250296,3616.833104,12712.542559,5920.133559,0.333333,streaming,streaming
1058.394955,3901.543369,21384.03691,6084.621809,0.333333,streaming,streaming
1109.256689,6085.063706,11041.198173,6464.809646,0.333333,streaming,streaming
1286.397454,7098.479851,11047.540589,5974.971721,0.333333,streaming,streaming
1267.561374,6769.866241,11212.896377,6307.136363,0.333333,streaming,streaming
1275.90399,6859.6488,11012.36202,6576.015128,0.333333,streaming,streaming
556.972621,3374.361854,21985.651121,6078.057453,0.333333,streaming,streaming
150.058546,1588.607122,943.413704,6316.380032,0.333333,kensaku,kensaku
173.921898,1459.440314,1404.982875,11041.765966,0.333333,kensaku,kensaku
27295.195857,1197.43383,86105.239011,3512.849055,0.333333,kensaku,kensaku
7925.518136,215.747339,161639.736374,302.086629,-0.333333,sencing,kensaku
150.753344,1122.940331,1814.87149,17919.291589,0.333333,kensaku,kensaku
201.098815,2329.636354,885.973778,7829.18151,0.333333,kensaku,kensaku
233.184897,2055.17763,1731.518011,9706.567149,0.333333,kensaku,kensaku
5485.993575,679.776094,684506.093642,3480.645339,0.333333,kensaku,kensaku
158.276101,1007.845798,1981.536238,17627.440796,0.333333,kensaku,kensaku
139.332751,966.214997,845.99613,6149.324359,0.333333,kensaku,kensaku
190.921816,1482.549405,1558.603724,13004.034248,0.333333,kensaku,kensaku
216.436776,2299.66382,795.684338,5233.757813,-0.333333,streaming,kensaku
150.802063,1005.900981,1793.049407,17537.738674,0.333333,kensaku,kensaku
223.051031,2403.819522,779.416144,5207.702855,-0.333333,streaming,kensaku
166.383727,1392.818951,991.496751,6670.660561,0.333333,kensaku,kensaku
253.572438,2384.593245,919.34629,4866.500218,-0.333333,streaming,kensaku
194.952063,2010.097866,957.321445,7436.456893,0.333333,kensaku,kensaku
209.425712,2362.506507,1053.71234,7115.143341,0.333333,kensaku,kensaku
15647.396067,117.826347,173269.835988,1349.439513,0.333333,kensaku,kensaku
215.900305,2215.167314,854.01894,5636.0173,-0.333333,streaming,kensaku
190.716142,1444.103243,1352.538349,12573.651311,0.333333,kensaku,kensaku
34105.3224,545.481618,138715.875243,2330.788826,0.333333,kensaku,kensaku
672.856895,1019.020782,22315.748674,5609.953378,0.333333,kensaku,kensaku
173.594369,1219.841842,1461.133368,11374.771921,0.333333,kensaku,kensaku
19278.398855,744.235294,141737.544312,2147.798354,0.333333,kensaku,kensaku
10325.567258,555.223277,124559.353171,3887.634989,0.333333,kensaku,kensaku
163.063678,1008.734731,1924.569625,16189.340916,0.333333,kensaku,kensaku
155.241572,1009.837911,2315.189778,16197.813639,0.333333,kensaku,kensaku
140.153663,1013.08063,884.920156,6363.665735,0.333333,kensaku,kensaku
221.203559,2375.611502,1022.20029,7035.482875,-0.333333,streaming,kensaku
34866.607507,618.384052,135693.277266,2187.52792,0.333333,kensaku,kensaku
153.451568,1057.60742,951.69098,17797.640201,0.333333,kensaku,kensaku
169.364355,1076.525566,1870.267803,17854.319451,0.333333,kensaku,kensaku
189.838563,1656.602399,1287.966096,12583.489963,0.333333,kensaku,kensaku
11621.069306,558.926372,131755.771531,3036.78022,0.333333,kensaku,kensaku
207.932479,1961.550224,949.581097,7267.687171,0.333333,kensaku,kensaku
22191.695193,74.233531,74190.089631,6054.386126,0.333333,kensaku,kensaku
174.682554,1514.84287,1318.55375,10343.15553,0.333333,kensaku,kensaku
7422.04127,709.581131,161601.302858,618.508081,-0.666667,sencing,kensaku
24996.817832,14.173605,143988.351603,1437.212539,0.333333,kensaku,kensaku
137.089543,1661.001896,898.820628,6481.228938,0.333333,kensaku,kensaku
170.215927,1089.287854,1616.147369,14936.373185,0.333333,kensaku,kensaku
231.86239,1271.34218,1131.991324,6615.748324,0.333333,kensaku,kensaku
216.378318,2403.164437,774.815181,5640.356655,-0.333333,streaming,kensaku
185.14775,2184.848962,992.955737,7501.190158,0.333333,kensaku,kensaku
26481.874744,4.339851,1588382.484602,5.427819,0.333333,kensaku,kensaku
187.930608,2191.209027,1000.981662,7552.127242,0.333333,kensaku,kensaku
171.585405,1536.21329,1901.555694,11349.091794,0.333333,kensaku,kensaku
166.720248,1856.511067,791.218777,5997.625506,0.333333,kensaku,kensaku
602.822695,45.230738,113,0,0.333333,sencing,sencing
1380.677419,1996.190249,712.532258,889.482846,0.333333,sencing,sencing
2544.424242,7253.501537,92.727273,15.427784,0.333333,sencing,sencing
391.089109,3682.407845,881.534653,4497.285915,-0.666667,streaming,sencing
264.762887,1912.70344,395.381443,642.143968,0.333333,sencing,sencing
356.736402,530.448205,91.129707,10.01985,0.333333,sencing,sencing
298.996441,2247.304436,435.793594,672.205876,0.333333,sencing,sencing
1875.340909,2956.001491,96.136364,22.685188,0.333333,sencing,sencing
337.118577,355.492646,91.067194,9.742101,0.333333,sencing,sencing
1549.886792,1042.326564,2661.188679,1696.492197,0.333333,sencing,sencing
1499.928571,1647.003858,2642.464286,1609.556527,0.333333,sencing,sencing
289.040541,41.468953,817.155405,92.659666,0.333333,sencing,sencing
4743.818182,10732.663457,106.363636,34.712515,0.333333,sencing,sencing
255.41369,82.496455,220.625,66.939221,0.333333,sencing,sencing
5222.6875,12742.771832,95.625,21.785531,0.333333,sencing,sencing
431.184211,3929.468675,425.782895,679.929698,0.333333,sencing,sencing
3605.555556,9437.982684,100,28.284271,0.333333,sencing,sencing
2292.538462,4246.373016,96.923077,23.982242,0.333333,sencing,sencing
210.6133,92.236421,386.536946,187.726119,0.333333,sencing,sencing
7815.272727,15310.798234,90,0,0.333333,sencing,sencing
275.254019,59.786892,931.327974,220.799181,0.333333,sencing,sencing
257.299401,2270.564504,419.817365,741.160431,0.333333,sencing,sencing
1174.9,2251.714624,93.857143,18.228146,0.333333,sencing,sencing
2596.833333,7011.918625,96,22.449944,0.333333,sencing,sencing
1158.152778,2179.693369,95,20.615528,0.333333,sencing,sencing
141.671916,759.603716,525.238845,904.067974,0.333333,sencing,sencing
6368.75,15294.749939,97.5,24.874686,0.333333,sencing,sencing
280.688525,52.677659,935.790164,197.563292,0.333333,sencing,sencing
