@relation communication_pattern.2016-09-24_to_30pattern

@attribute timeave_1 real
@attribute timesd_1 real
@attribute dataave_1 real
@attribute datasd_1 real
@attribute timeave_2 real
@attribute timesd_2 real
@attribute dataave_2 real
@attribute datasd_2 real
@attribute cluster real
@attribute class {sencing,streaming,kensaku}

@data
20496.33333333333,3586.606690948362,180.0,0.0,1535.3902439024394,4198.8688655575725,90.0,0.0,2,sencing
16881.4,13911.790360697649,6340.0,390.00666660968767,261.2249240121581,2292.8260494146225,329.844984802,120.8615361672019,2,sencing
10345.0,5674.0,180.0,0.0,369.3549783549784,660.9643187800117,90.0,0.0,2,sencing
11742.0,10613.411656955552,180.0,0.0,412.00483091787436,750.1296989148303,90.0,0.0,2,sencing
17511.0,0.0,180.0,0.0,4793.769230769231,8365.414276870491,90.0,0.0,2,sencing
15885.4,12446.88570848146,6246.2,116.93998460749,235.28011204481797,2083.059108443231,367.226890756,116.8471028282355,2,sencing
1513.0,3221.5127861889587,90.0,0.0,0,0,0,0,1,sencing
18771.0,0.0,180.0,0.0,4507.0,8071.261753016952,90.0,0.0,2,sencing
14575.0,2216.0,180.0,0.0,3440.28,3767.9924789733864,90.0,0.0,2,sencing
13017.4,8636.244220724655,180.0,0.0,392.80094786729865,689.8595077789643,90.0,0.0,2,sencing
134.80757097791798,65.04039661542397,980.61829653,12.344274638110239,106.18260869565218,51.762406998592176,776.211180124,6.2717051064850535,2,sencing
4021.476190476191,1253.7611080663546,2006.19047619,230.24720029270802,1747.9565217391305,2014.4692575003446,131.130434783,130.14316676772808,2,sencing
14337.4,9282.1589212855,180.0,0.0,987.439024390244,2033.4895640886841,90.0,0.0,2,sencing
11485.0,10234.0,980.0,0.0,291.21768707482994,48.75658225324787,490.272108844,4.65775313431937,2,sencing
290.2271186440678,39.488242534676544,997.711864407,93.62710943924192,848.4257425742575,725.5215310454871,106.742574257,44.337734742384704,2,sencing
6278.333333333332,3658.893032355855,270.0,0.0,7942.2,6636.205855758243,172.8,62.97428046432924,2,sencing
24996.33333333333,12017.163873208832,180.0,0.0,1489.7924528301885,2853.960540765223,90.0,0.0,2,sencing
7836.454545454545,8245.391399978716,180.0,0.0,600.645390070922,1119.398528559495,90.0,0.0,2,sencing
4009.6,1283.9902024548314,622.0,0.0,0,0,0,0,1,sencing
